number_of_rooms,floor,floors,combined_bathroom,shared_bathroom,passenger_elevator,cargo_elevator,loggia,parking,balcony,price,total_area,living_area,kitchen_area,year_of_construction,full_adress,distnce_metro,type_of_accommodation0,type_of_accommodation1,type_of_house0,type_of_house1,type_of_house2,type_of_house3,type_of_house4,type_of_house5,type_of_house6,type_of_house7,repair0,repair1,repair2,repair3,repair4,repair5,district0,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13
2,3,36,0,1,1,0,0,1,0,10404980,65.6,29.7,13.0,2018,"Москва, САО, р-н Войковский, Головинское ш.",0.5366392401559232,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15,16,0,1,0,0,1,0,0,11990000,69.0,46.0,9.0,1980,"Москва, ЮВАО, р-н Лефортово, Сторожевая ул., 29",1.5055674728901471,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,12,22,2,0,1,0,1,1,0,22454940,141.92,88.0,14.4,2019,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш.",0.33823899408241176,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16,20,1,0,1,1,0,1,1,8000000,43.0,18.0,9.0,2015,"Москва, НАО (Новомосковский), Внуковское поселение, ул. Самуила Маршака, 15",12.406324341032374,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,5,1,0,0,0,0,0,0,38900000,91.5,52.5,19.0,1958,"Москва, ЦАО, р-н Пресненский, Васильевская ул., 2к1",0.866955244906184,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,9,23,1,0,1,1,1,1,0,16048000,68.0,25.6,15.9,2012,"Москва, ЮЗАО, р-н Черемушки, Херсонская ул., 43",1.3118179768831428,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,1,5,0,1,1,1,0,0,0,14600000,80.0,51.0,7.5,1958,"Москва, СЗАО, р-н Щукино, ул. Маршала Бирюзова, 41",1.1352401437232829,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,16,0,1,1,1,1,0,0,6350000,40.0,18.0,10.0,1980,"Москва, ЮЗАО, р-н Ясенево, ул. Инессы Арманд, 3",1.075803250494383,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,4,14,2,0,1,1,1,1,0,67000000,110.0,62.0,16.0,2014,"Москва, ЦАО, р-н Хамовники, Трубецкая ул., 12",0.528172477585726,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,6,6,2,0,1,0,0,0,0,15350000,97.0,78.0,10.0,1958,"Москва, ЮАО, р-н Нагорный, Симферопольский проезд, 1А",1.0356390492943004,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,23,25,2,0,1,1,0,1,0,27900000,145.0,85.0,25.0,2000,"Москва, ЗАО, р-н Можайский, Можайское ш., 2",0.7056485877305444,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,5,0,0,1,0,0,0,1,85071240,134.0,76.0,14.0,1913,"Москва, ЦАО, р-н Арбат, Большой Кисловский пер., 4С1",0.3241279773722525,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,5,17,0,1,1,1,1,1,0,6900000,57.0,27.1,11.5,2017,"Москва, НАО (Новомосковский), Десеновское поселение, ул. 1-я Нововатутинская, 1",13.891467450237027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,12,12,2,0,0,0,0,0,0,253943999,282.0,144.0,25.0,2017,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 7/1",0.6579576764774947,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,20,20,0,2,1,1,1,0,0,31800000,249.0,170.0,20.0,2006,"Москва, ЗАО, р-н Тропарево-Никулино, ул. Коштоянца, 20К3",1.462174870753835,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,13,1,1,1,1,0,0,0,60060330,102.0,49.6,21.2,2019,"Москва, ЦАО, р-н Хамовники, Погодинская ул., 4",1.1658750382212046,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,11,24,2,0,0,0,1,0,0,52990000,124.0,75.0,13.3,2008,"Москва, ЗАО, р-н Раменки, Мичуринский просп., 3",2.2080086948910966,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,43,3,0,1,1,0,0,0,65500000,212.4,119.0,25.0,2004,"Москва, ЗАО, р-н Фили-Давыдково, Давыдковская ул., 3",0.8198485106731115,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,18,1,0,1,0,1,1,0,9827730,46.0,11.9,27.5,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1",0.5323660851381751,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10,12,0,1,1,1,1,0,0,14000000,65.3,45.0,9.6,1971,"Москва, ЦАО, р-н Пресненский, Ходынская ул., 10С1",0.656568251370818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,6,33,0,0,1,1,0,0,0,43805340,75.0,53.0,11.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",1.821083789537996,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,14,24,0,3,0,0,0,0,0,52020000,179.4,90.0,30.0,2018,"Москва, САО, р-н Хорошевский, Хорошевское ш., 38",0.9362083000311168,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,17,1,0,1,1,0,1,1,5100000,38.0,20.0,9.0,1987,"Москва, ЗАО, р-н Солнцево, Солнцевский просп., 17/1",5.4305279403773286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10,12,1,1,1,1,1,0,1,25500000,103.0,56.8,12.1,2016,"Москва, ЗАО, р-н Раменки, ул. Столетова, 19",2.9133563336604085,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,8,1,0,1,0,0,0,1,77000000,71.0,40.8,8.0,1938,"Москва, ЦАО, р-н Тверской, Тверская ул., 4",0.2613470512573,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,4,9,1,0,1,0,0,1,0,3624000,16.9,11.3,2.0,1974,"Москва, САО, р-н Ховрино, Клинская ул., 4К2",2.60998058144701,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,8,1,1,1,1,1,1,0,9799999,77.0,47.0,11.0,2000,"Москва, ЮЗАО, р-н Южное Бутово, Скобелевская ул., 25К5",0.5060695668090224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,8,22,2,0,1,0,1,1,0,11177300,106.49,67.5,13.7,2019,"Москва, ЮАО, р-н Чертаново Южное, Варшавское ш., 170Е",0.915195349961502,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,2,14,0,1,1,1,0,0,1,7200000,54.0,32.0,9.5,2005,"Москва, ВАО, р-н Косино-Ухтомский, ул. Рудневка, 35",3.7752875557223744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,14,3,0,0,0,0,1,0,53000000,150.0,100.0,20.0,2012,"Москва, ЗАО, р-н Тропарево-Никулино, просп. Вернадского, 94к5",0.7125618111000047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,21,1,1,1,1,0,1,1,27700000,110.0,58.2,15.0,2015,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 88к2с7",3.2212262130783484,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,9,0,1,1,0,1,1,0,7800000,45.0,28.0,7.0,1968,"Москва, ЮЗАО, р-н Коньково, ул. Островитянова, 27К1",0.2837607451643636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,9,12,0,0,1,0,0,0,1,24000000,57.0,30.0,9.0,1986,"Москва, ЦАО, р-н Тверской, Краснопролетарская ул., 9",0.4989289345439093,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2,10,1,0,1,1,0,1,0,4250730,36.3,22.6,5.0,2019,"Москва, НАО (Новомосковский), Коммунарка поселок, ул. Александры Монаховой, 96к2",2.5474993197980202,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15,15,0,2,1,1,1,1,0,23350000,77.0,40.0,13.0,2017,"Москва, ЮАО, р-н Даниловский, ул. Серпуховский Вал, 21",0.8500144299867073,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,5,8,2,0,1,0,0,0,1,57137399,143.0,109.0,9.0,1959,"Москва, ЮЗАО, р-н Ломоносовский, ул. Кравченко, 4К3",1.4641768196117968,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,25,25,2,0,1,1,0,0,0,29500000,124.4,68.0,16.5,2001,"Москва, ЮЗАО, р-н Обручевский, ул. Новаторов, 34К7",1.8227169545084176,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,5,15,1,0,1,1,1,1,0,6519652,72.8,44.0,10.0,2019,"Москва, НАО (Новомосковский), Сосенское поселение, Гавриково СНТ, ул. Березовая",1.279887705059646,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,15,0,1,1,1,1,0,0,6600000,38.0,19.7,10.9,1989,"Москва, ЮВАО, р-н Рязанский, ул. Михайлова, 39",1.3548709364600562,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,4,11,0,0,1,1,0,0,1,61200503,73.7,52.0,11.0,2012,"Москва, ЦАО, р-н Хамовники, 2-я Фрунзенская ул., 8",0.4502180594367952,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2,9,1,0,1,0,0,1,0,5700000,35.0,19.0,8.0,1968,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Мневники, 12",2.1880778213700496,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,23,32,0,2,1,1,0,0,0,27990000,120.0,80.0,20.0,2008,"Москва, САО, р-н Аэропорт, Кочновский проезд, 4к2",1.3801459043407212,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,22,1,0,1,1,1,1,0,6997720,39.42,16.3,10.1,2019,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш.",0.33823899408241176,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3,3,4,1,0,0,1,1,1,99000000,335.0,200.0,20.0,2007,"Москва, ЗАО, р-н Раменки, Минская ул., 1ГК5",3.1762254176789284,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15,17,1,0,1,1,1,1,0,14900000,56.0,18.0,16.0,2017,"Москва, ВАО, р-н Богородское, 1-я Мясниковская ул., 2",2.493308236854092,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,22,23,2,0,1,1,1,1,0,32500000,119.0,62.3,13.0,2006,"Москва, СЗАО, р-н Строгино, ул. Твардовского, 14к2",1.056279467984242,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,9,0,1,1,0,0,0,1,6000000,44.2,27.0,6.0,1976,"Москва, ЮАО, р-н Зябликово, ул. Мусы Джалиля, 34К3",0.612216937091015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,8,17,1,0,1,1,1,0,0,4680898,39.4,18.9,10.1,2017,"Москва, ЮВАО, р-н Некрасовка, ул. Недорубова, 18к3",7.232872768875371,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,6,9,0,1,1,0,0,0,1,7650000,59.0,43.0,8.0,1977,"Москва, ЮАО, р-н Зябликово, ул. Мусы Джалиля, 16К1",0.4664858256560082,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,10,12,0,2,1,1,1,0,0,46500000,143.0,80.0,20.0,2004,"Москва, САО, р-н Хорошевский, Ходынский бул., 13",1.0197174662221034,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,11,3,1,0,0,0,0,1,72275000,245.0,120.0,20.0,1956,"Москва, ЦАО, р-н Хамовники, Смоленская-Сенная пл., 23/25",0.4327544948117464,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,3,14,3,0,1,1,0,0,1,112000000,371.0,243.0,20.0,1997,"Москва, СЗАО, р-н Щукино, ул. Маршала Василевского, 13К3",0.3752799380023229,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25,25,1,1,1,1,0,1,1,5734160,56.9,26.4,13.5,2019,"Москва, НАО (Новомосковский), Московский, Первый Московский микрорайон, к30",10.638735916830155,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,7,1,1,1,1,0,0,0,27500000,86.0,60.0,15.0,2008,"Москва, ЦАО, р-н Пресненский, ул. Пресненский Вал, 16С3",0.4445706680198557,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,18,25,1,0,1,1,1,0,0,6489000,63.5,33.0,13.9,2016,"Москва, ЮВАО, р-н Некрасовка, ул. Недорубова, 18к1",7.117841906668726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,3,21,2,0,0,0,1,0,0,44700000,117.0,62.0,17.0,2016,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 88к4",3.1404393506573145,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,21,1,0,1,0,0,1,1,9915360,59.02,25.9,18.4,2019,"Москва, ЮВАО, р-н Лефортово, Душинская ул., 16",1.205081513089405,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2,22,1,0,1,0,1,1,0,6997720,39.42,16.3,10.1,2019,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш.",0.33823899408241176,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,17,1,0,1,1,1,0,0,4800000,35.0,19.0,10.0,1993,"Москва, ЮАО, р-н Бирюлево Западное, Харьковский проезд, 11К4",3.4849869378904144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,15,22,1,0,1,1,1,0,0,16012680,58.1,22.4,14.3,2017,"Москва, САО, р-н Тимирязевский, Дмитровское ш., 13",0.277437342043645,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18,25,0,1,1,1,1,0,0,6489000,64.0,31.9,15.9,2016,"Москва, ЮВАО, р-н Некрасовка, ул. Недорубова, 18к1",7.117841906668726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,30,32,0,2,1,1,0,0,0,29990000,104.0,69.0,11.0,2008,"Москва, САО, р-н Аэропорт, Кочновский проезд, 4к1",1.1468151856501734,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,17,1,0,1,1,0,0,0,6227390,38.41,18.9,7.3,2017,"Москва, ЮВАО, р-н Рязанский, 2-й Грайвороновский проезд, 38к1",1.8545239944502487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,10,25,0,1,1,1,1,0,0,4657264,39.2,18.9,9.0,2016,"Москва, ЮВАО, р-н Некрасовка, ул. Недорубова, 20к1",7.13234674702584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,14,15,2,2,1,1,1,1,1,44380900,153.8,92.5,10.0,2017,"Москва, ЗАО, р-н Можайский, ул. Гришина",2.031315613567231,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7,12,1,0,1,0,0,0,1,7399000,51.0,32.0,9.5,1968,"Москва, САО, р-н Ховрино, Зеленоградская ул., 31К1",2.6491669463321204,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,16,0,2,1,1,1,0,0,31000000,115.0,58.0,12.1,2006,"Москва, САО, р-н Хорошевский, ул. Авиаконструктора Микояна, 14к2",0.8951504991839047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,16,2,1,1,1,0,1,0,165063600,208.2,133.3,6.0,2010,"Москва, ЦАО, р-н Арбат, 1-й Смоленский пер., 17",0.31368105151671377,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
